﻿Ranking,Title,Rating,Director,Actors,Duration,Relaese Time,Type,Making Area,Cumulative_income(ten thousand unit),Movie Information
﻿1,哪吒之魔童降世,9.6,饺子,"吕艳婷,囧森瑟夫,瀚墨",110分钟,2019-07-26,"['动画', '喜剧', '奇幻']",中国大陆,503570,http://maoyan.com/films/1211270
﻿2,我不是药神,9.6,文牧野,"徐峥,周一围,王传君",117分钟,2018-07-05,"['剧情', '喜剧']",中国大陆,310002,http://maoyan.com/films/1200486
﻿3,肖申克的救赎,9.5,弗兰克·德拉邦特,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",142分钟,1994-09-10(加拿大),"['剧情', '犯罪']",美国,,http://maoyan.com/films/1297
﻿4,海上钢琴师,9.3,朱塞佩·托纳多雷,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世",126分钟,2019-11-15,"['剧情', '爱情', '音乐']",意大利,14376,http://maoyan.com/films/1292
﻿5,绿皮书,9.5,彼得·法雷里,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",130分钟,2019-03-01,"['剧情', '喜剧', '传记']",美国,47872,http://maoyan.com/films/1206605
﻿6,小偷家族,8.1,是枝裕和,"中川雅也,安藤樱,松冈茉优",121分钟,2018-08-03,"['剧情', '犯罪']",日本,9675,http://maoyan.com/films/1216365
﻿7,美丽人生,9.3,罗伯托·贝尼尼,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克",116分钟,2020-01-03,"['战争', '剧情', '爱情']",意大利,5979,http://maoyan.com/films/1303
﻿8,霸王别姬,9.4,陈凯歌,"张国荣,张丰毅,巩俐",171分钟,1993-07-26,"['剧情', '爱情']","中国大陆,中国香港",5,http://maoyan.com/films/1203
﻿9,这个杀手不太冷,9.4,吕克·贝松,"让·雷诺,加里·奥德曼,娜塔莉·波特曼",110分钟,1994-09-14(法国),"['剧情', '动作', '犯罪']",法国,,http://maoyan.com/films/4055
﻿10,触不可及,9.1,奥利维埃·纳卡什,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",112分钟,2011-11-02(法国),"['剧情', '喜剧']",法国,,http://maoyan.com/films/70976
﻿11,盗梦空间,9.0,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",148分钟,2010-09-01,"['动作', '悬疑', '惊悚', '科幻']","美国,英国",49620,http://maoyan.com/films/416
﻿12,怦然心动,8.9,罗伯·莱纳,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹•奎因",90分钟,2010-07-26(美国),['爱情'],美国,,http://maoyan.com/films/46818
﻿13,辛德勒的名单,9.2,史蒂文·斯皮尔伯格,"连姆·尼森,拉尔夫·费因斯,本·金斯利",195分钟,1993-11-30(美国),"['剧情', '历史', '战争']",美国,,http://maoyan.com/films/3667
﻿14,楚门的世界,8.9,彼得·威尔,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",103分钟,1998(罗马尼亚),['剧情'],美国,,http://maoyan.com/films/1304
